latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
3.13479,103.1879,336.1,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,300.7,4.3,D
3.17639,103.37337,331.3,0.39,0.36,2021-03-09,06:30,N,low,1.0NRT,303.8,5.4,D
3.20075,103.37687,336.5,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,300.4,2.6,D
3.22905,103.29726,336.9,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,299.7,3.2,D
2.71224,99.79387,340.2,0.46,0.39,2021-03-09,06:30,N,low,1.0NRT,303.2,9.8,D
3.25199,103.26899,339.6,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,306.9,13.3,D
3.26249,103.27097,344.6,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,304,12.1,D
3.27037,103.2556,355.1,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,311.5,13,D
3.26985,103.25214,338.2,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,307.5,13,D
5.21763,116.30814,325.4,0.78,0.78,2021-03-09,06:30,N,nominal,1.0NRT,288.9,4.3,D
3.29837,103.21596,335.3,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,302.3,12.5,D
3.33611,103.42014,334.9,0.39,0.36,2021-03-09,06:30,N,low,1.0NRT,309.5,4.9,D
3.33891,103.41616,340,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,308.4,4.2,D
3.37047,103.40696,341.1,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,309.2,12.8,D
3.36994,103.40348,348.7,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,306.4,10.7,D
3.37432,103.40995,348,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,307.2,12.8,D
3.3738,103.40647,352.9,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,313.7,12.8,D
3.37327,103.40298,331.2,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,303.2,10.7,D
3.37766,103.40946,336.6,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,305.7,10.1,D
3.37713,103.40597,353.6,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,307.6,10.1,D
5.21934,116.31247,326.5,0.78,0.78,2021-03-09,06:30,N,nominal,1.0NRT,289.1,5.8,D
3.38046,103.40548,349.2,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,305.8,10.1,D
3.45765,103.17638,346.2,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,301.7,10,D
3.46149,103.17934,348.6,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,303.6,26,D
3.46534,103.18232,347.5,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,302.9,7.3,D
3.46429,103.17538,345,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,302.8,4.4,D
3.46867,103.18183,341.5,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,303.2,7.3,D
3.46762,103.17488,347,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,302,4.4,D
3.48371,103.16895,341.1,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,305.8,7.2,D
3.51174,103.33183,367,0.39,0.36,2021-03-09,06:30,N,high,1.0NRT,302.8,6.1,D
3.51227,103.33532,345,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,300.9,4.3,D
3.51122,103.32835,333.7,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,299.5,6.1,D
3.53248,103.44646,337,0.39,0.36,2021-03-09,06:30,N,low,1.0NRT,307.4,5.7,D
3.51613,103.33829,347.5,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,302.4,4.2,D
3.5156,103.33482,338.2,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,303.3,4.2,D
3.51508,103.33133,345.8,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,302.5,4.6,D
3.51455,103.32784,333.8,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,300.6,4.6,D
3.51946,103.3378,346.1,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,306.8,4.2,D
3.51893,103.33432,347.7,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,303.5,4.2,D
3.52279,103.3373,367,0.39,0.36,2021-03-09,06:30,N,high,1.0NRT,309.2,19.8,D
3.52332,103.34078,333.9,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,304.3,3.5,D
3.52226,103.33382,353.3,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,306.2,19.8,D
3.68054,103.28781,334.9,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,303.5,8.2,D
3.68002,103.28433,355.5,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,320.6,21.7,D
3.67949,103.28085,347.3,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,312.5,21.7,D
3.68387,103.28732,338.7,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,308.8,7.2,D
3.68335,103.28383,354.7,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,313.8,5.2,D
3.68282,103.28035,347.6,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,311.3,5.2,D
3.68615,103.27985,330.5,0.39,0.36,2021-03-09,06:30,N,low,1.0NRT,302.2,5.2,D
3.17233,98.05846,337.8,0.56,0.43,2021-03-09,06:30,N,nominal,1.0NRT,294.1,3.7,D
3.98622,103.3689,335.7,0.39,0.36,2021-03-09,06:30,N,low,1.0NRT,305.9,4.4,D
3.17111,98.06232,332.9,0.56,0.43,2021-03-09,06:30,N,nominal,1.0NRT,294.3,5.8,D
4.00642,103.34441,337.5,0.39,0.36,2021-03-09,06:30,N,low,1.0NRT,308.2,7.1,D
3.2043,98.09254,325.4,0.56,0.43,2021-03-09,06:30,N,nominal,1.0NRT,289.9,3.6,D
4.13733,103.38155,347.6,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,302.8,4.5,D
4.14067,103.38105,341.9,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,301.1,4.5,D
4.55724,103.45707,339.6,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,305.4,6.5,D
4.35943,100.97046,334.1,0.4,0.37,2021-03-09,06:30,N,low,1.0NRT,305.7,5.1,D
4.68626,103.05333,339.9,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,301.1,4.9,D
4.02997,97.12749,325.7,0.42,0.45,2021-03-09,06:30,N,nominal,1.0NRT,296.9,2.4,D
4.08788,97.3313,353.3,0.4,0.45,2021-03-09,06:30,N,nominal,1.0NRT,299.2,12.2,D
4.03331,96.31547,328.3,0.47,0.48,2021-03-09,06:30,N,nominal,1.0NRT,294.8,5.2,D
4.09641,96.23212,337.8,0.47,0.48,2021-03-09,06:30,N,nominal,1.0NRT,299.1,3.7,D
4.92303,100.84234,337,0.4,0.37,2021-03-09,06:30,N,low,1.0NRT,301.8,3.5,D
5.02037,100.5003,331.4,0.41,0.37,2021-03-09,06:30,N,low,1.0NRT,304.8,4,D
5.38094,102.81995,331.2,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,299.4,1.9,D
4.39381,95.90576,348.3,0.49,0.49,2021-03-09,06:30,N,nominal,1.0NRT,302.3,10.4,D
4.39308,95.90129,331.9,0.49,0.49,2021-03-09,06:30,N,nominal,1.0NRT,300.8,7.8,D
4.39829,95.90504,344.9,0.49,0.49,2021-03-09,06:30,N,nominal,1.0NRT,301.6,9.3,D
4.39757,95.90056,330.5,0.49,0.49,2021-03-09,06:30,N,low,1.0NRT,300.7,8.2,D
5.58608,102.81316,336.5,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,302,2.5,D
4.74269,96.99281,334.9,0.41,0.45,2021-03-09,06:30,N,nominal,1.0NRT,290.1,3.5,D
5.65948,102.71927,331,0.39,0.36,2021-03-09,06:30,N,low,1.0NRT,304,1.4,D
5.78246,102.56849,336.5,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,299.3,3.1,D
5.78193,102.56501,341.6,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,297.3,1.8,D
5.52721,100.63942,337,0.4,0.37,2021-03-09,06:30,N,low,1.0NRT,308.6,7.9,D
5.52664,100.63578,349.8,0.4,0.37,2021-03-09,06:30,N,low,1.0NRT,314.6,40.6,D
5.53003,100.63525,344.6,0.4,0.37,2021-03-09,06:30,N,nominal,1.0NRT,307.4,3.6,D
5.92919,102.39979,335.1,0.38,0.36,2021-03-09,06:30,N,nominal,1.0NRT,289.5,2.5,D
6.20943,102.22084,332.1,0.38,0.36,2021-03-09,06:30,N,nominal,1.0NRT,293.6,3.1,D
5.98256,100.40359,332.6,0.41,0.37,2021-03-09,06:30,N,low,1.0NRT,306.7,3.7,D
5.9837,100.36576,346.9,0.41,0.37,2021-03-09,06:30,N,nominal,1.0NRT,308.9,7.6,D
6.08157,100.47809,333,0.4,0.37,2021-03-09,06:30,N,low,1.0NRT,307.7,2.7,D
6.13055,100.30099,338.6,0.41,0.37,2021-03-09,06:30,N,low,1.0NRT,310.8,7.2,D
6.16185,100.29995,335.6,0.41,0.37,2021-03-09,06:30,N,low,1.0NRT,310.3,5.3,D
6.19654,100.36621,336.2,0.41,0.37,2021-03-09,06:30,N,low,1.0NRT,308.8,4,D
6.21583,100.37827,334,0.41,0.37,2021-03-09,06:30,N,low,1.0NRT,308.3,2.3,D
6.21528,100.35203,336.8,0.41,0.37,2021-03-09,06:30,N,low,1.0NRT,309.8,4.4,D
6.23485,100.36381,346,0.41,0.37,2021-03-09,06:30,N,nominal,1.0NRT,310.3,7.6,D
6.23427,100.36015,341.1,0.41,0.37,2021-03-09,06:30,N,nominal,1.0NRT,311.3,8.5,D
6.23825,100.36328,348.6,0.41,0.37,2021-03-09,06:30,N,nominal,1.0NRT,308.9,27,D
6.22957,100.28551,341.3,0.41,0.37,2021-03-09,06:30,N,nominal,1.0NRT,310,9,D
6.25639,100.34546,338.7,0.41,0.37,2021-03-09,06:30,N,low,1.0NRT,307.1,3.4,D
6.28081,100.34546,342.6,0.41,0.37,2021-03-09,06:30,N,nominal,1.0NRT,310.1,1.9,D
6.28413,100.20892,339.4,0.41,0.37,2021-03-09,06:30,N,low,1.0NRT,311.9,9.9,D
6.33952,100.29829,338.9,0.41,0.37,2021-03-09,06:30,N,low,1.0NRT,311.1,5.3,D
6.35649,100.25038,336.7,0.41,0.37,2021-03-09,06:30,N,low,1.0NRT,310.3,2.5,D
6.38265,100.23878,335.4,0.41,0.37,2021-03-09,06:30,N,low,1.0NRT,308.1,7.1,D
6.62859,100.31745,367,0.41,0.37,2021-03-09,06:30,N,high,1.0NRT,308.1,13.8,D
